filename,start_date,end_date,date_diff
10000009.nc,2001-01-01,2022-12-31,8034
10000010.nc,2001-01-01,2022-12-31,8034
10000011.nc,2001-01-01,2022-12-31,8034
10000014.nc,2001-01-01,2022-12-31,8034
10000016.nc,2001-01-01,2022-12-31,8034
10000017.nc,2007-01-01,2022-12-31,5843
1000102.nc,2016-12-13,2022-12-31,2209
1000219.nc,2014-01-01,2014-12-31,364
1000228.nc,2011-01-01,2011-12-31,364
1000315.nc,2016-12-13,2022-12-31,2209
11000009.nc,2013-01-01,2018-12-31,2190
11000011.nc,2001-01-01,2022-12-31,8034
11000014.nc,2013-01-01,2013-12-31,364
11000016.nc,2001-01-01,2022-12-31,8034
11000060.nc,2013-01-01,2013-12-31,364
11000204.nc,2013-01-01,2022-12-31,3651
11000272.nc,2011-01-01,2018-01-02,2558
12000001.nc,2006-01-01,2022-12-31,6208
12000195.nc,2012-01-01,2016-01-11,1471
12000519.nc,2016-12-01,2022-12-31,2221
13000011.nc,2001-01-01,2022-12-31,8034
13000019.nc,2001-01-01,2022-12-31,8034
13000055.nc,2017-01-01,2019-12-31,1094
13000065.nc,2005-01-01,2022-12-30,6572
13000116.nc,2005-06-17,2016-01-06,3855
13000117.nc,2006-03-01,2016-01-11,3603
13000430.nc,2016-12-02,2022-12-31,2220
14000016.nc,2001-01-01,2022-12-31,8034
14000020.nc,2001-01-01,2018-01-02,6210
14000022.nc,2001-01-01,2022-12-31,8034
14000219.nc,2016-12-16,2021-12-31,1841
15000002.nc,2001-01-01,2019-12-31,6938
15000032.nc,2001-01-01,2022-12-31,8034
15000034.nc,2001-01-01,2022-12-31,8034
15000042.nc,2001-01-01,2022-12-31,8034
15000043.nc,2001-01-01,2022-12-31,8034
15000044.nc,2016-12-16,2022-12-31,2206
15000045.nc,2001-01-01,2011-12-31,4016
15000046.nc,2001-01-01,2022-12-31,8034
15000048.nc,2016-12-08,2021-12-31,1849
15000069.nc,2004-01-01,2022-12-31,6939
15000073.nc,2001-01-01,2022-12-31,8034
15000104.nc,2004-01-01,2022-12-31,6939
15000109.nc,2004-01-01,2011-02-21,2608
15000280.nc,2017-01-01,2019-12-31,1094
15001034.nc,2016-01-01,2016-12-31,365
15001056.nc,2016-12-01,2022-12-31,2221
16000023.nc,2001-01-01,2022-12-31,8034
16000024.nc,2001-01-01,2022-12-31,8034
16000030.nc,2001-01-01,2022-12-31,8034
16000053.nc,2001-01-01,2022-12-31,8034
16000054.nc,2020-01-01,2022-12-31,1095
16000070.nc,2001-01-01,2022-12-31,8034
16000123.nc,2018-01-01,2022-12-31,1825
16000130.nc,2013-01-01,2013-12-31,364
16000158.nc,2013-01-01,2013-12-31,364
16000215.nc,2016-12-22,2022-12-31,2200
16000258.nc,2013-01-01,2013-12-31,364
16000261.nc,2013-01-01,2013-12-31,364
16000273.nc,2016-01-01,2016-12-31,365
16000276.nc,2014-01-01,2014-12-31,364
16000410.nc,2014-01-01,2014-12-31,364
16000411.nc,2014-01-01,2014-12-31,364
16000649.nc,2018-10-01,2019-12-31,456
16000726.nc,2016-01-01,2016-12-31,365
16000777.nc,2014-01-01,2014-12-31,364
16001095.nc,2017-01-01,2022-12-31,2190
16001299.nc,2012-01-01,2016-12-31,1826
16001302.nc,2016-01-01,2016-12-31,365
16001309.nc,2017-01-01,2022-12-31,2190
16001334.nc,2018-10-01,2019-12-31,456
17000004.nc,2001-01-01,2022-12-31,8034
17000007.nc,2001-01-01,2022-12-31,8034
17002092.nc,2016-12-16,2021-12-31,1841
18000005.nc,2016-12-02,2019-12-31,1124
18000040.nc,2015-01-01,2015-12-31,364
18000041.nc,2017-01-01,2021-12-31,1825
18000075.nc,2012-01-01,2019-01-13,2569
18000077.nc,2001-01-01,2022-12-31,8034
18000078.nc,2001-01-01,2012-12-31,4382
18000079.nc,2011-01-01,2011-12-31,364
18000132.nc,2012-01-01,2018-12-31,2556
18000135.nc,2001-01-01,2019-12-31,6938
18000454.nc,2012-01-01,2012-12-31,365
18000471.nc,2001-01-01,2018-12-31,6573
18000887.nc,2017-01-01,2017-12-31,364
19000012.nc,2001-01-01,2022-12-31,8034
19000015.nc,2006-01-02,2022-12-31,6207
19000016.nc,2001-01-01,2022-12-31,8034
19000042.nc,2014-10-30,2016-10-25,726
19000075.nc,2017-01-01,2022-12-31,2190
19000214.nc,2017-01-01,2022-12-31,2190
20000021.nc,2001-01-01,2022-12-31,8034
20000024.nc,2001-01-01,2022-12-31,8034
20000025.nc,2017-01-01,2022-12-31,2190
20000026.nc,2001-01-01,2022-12-31,8034
20000034.nc,2001-01-01,2012-12-31,4382
20000042.nc,2001-01-01,2006-01-02,1827
2000005.nc,2001-01-01,2022-12-31,8034
2000006.nc,2001-01-01,2022-12-31,8034
2000014.nc,2016-12-20,2022-12-31,2202
20000306.nc,2012-01-01,2021-12-31,3652
20000308.nc,2017-01-01,2022-12-31,2190
20000790.nc,2001-01-01,2012-12-31,4382
20000852.nc,2017-12-15,2019-01-10,391
20000856.nc,2018-01-01,2022-12-31,1825
21000020.nc,2017-01-01,2022-12-31,2190
21000030.nc,2001-01-01,2022-12-31,8034
21000040.nc,2001-01-01,2022-12-31,8034
21000061.nc,2011-01-01,2022-12-31,4382
21000062.nc,2001-01-01,2022-12-31,8034
21000065.nc,2001-01-01,2012-12-31,4382
21000072.nc,2001-01-01,2022-12-31,8034
21000084.nc,2001-01-01,2022-12-31,8034
21000085.nc,2001-01-01,2022-12-31,8034
21000087.nc,2017-01-01,2019-12-31,1094
21000089.nc,2001-01-01,2022-12-31,8034
21000090.nc,2001-01-01,2022-12-31,8034
21000110.nc,2001-01-01,2018-01-09,6217
21000413.nc,2001-01-01,2022-12-31,8034
21000446.nc,2001-01-01,2022-12-31,8034
21000455.nc,2014-01-01,2014-12-31,364
21000461.nc,2001-01-01,2022-12-31,8034
21000462.nc,2021-01-01,2022-12-31,729
21000467.nc,2001-01-01,2019-12-31,6938
21000487.nc,2001-01-01,2022-12-31,8034
21000526.nc,2001-01-01,2019-02-07,6611
21000528.nc,2001-01-01,2022-12-31,8034
21000529.nc,2005-01-01,2011-12-31,2555
21000535.nc,2004-05-15,2011-01-06,2427
21000548.nc,2001-01-01,2022-12-31,8034
21000557.nc,2001-01-01,2012-12-31,4382
21000563.nc,2001-01-01,2012-12-31,4382
21000569.nc,2001-01-01,2015-12-31,5477
21000572.nc,2001-01-01,2022-12-31,8034
21000577.nc,2001-01-01,2012-12-31,4382
21000587.nc,2018-01-01,2022-12-31,1825
21000591.nc,2017-01-01,2022-12-31,2190
21000643.nc,2017-01-01,2022-12-31,2190
21000647.nc,2001-01-01,2019-01-22,6595
21000648.nc,2005-01-01,2022-12-31,6573
21000665.nc,2001-01-01,2022-12-31,8034
21000666.nc,2005-01-01,2022-12-31,6573
21000672.nc,2017-12-01,2019-02-06,432
21000712.nc,2001-01-01,2022-12-31,8034
