Id15_v30,hypeid,obsstednr
11100001,1,
11100003,2,1000219.0
11100004,3,
11100005,4,
11100006,5,
11100009,6,
11100055,7,1000228.0
11100056,8,
11100058,9,
11100066,10,
11100074,11,
11100077,12,
11100078,13,
11100093,14,
11100099,15,
11100299,16,
11102587,17,
12000001,18,
12000045,19,
12100001,20,
12100011,21,
12410001,22,
12410002,23,
12410003,24,
12410004,25,
12410005,26,
12410006,27,
12410007,28,
12410008,29,
12410009,30,
12410010,31,22000640.0
12410011,32,22000044.0
12410012,33,
12410017,34,
12410023,35,22000419.0
12410024,36,
12410059,37,
12410060,38,22000047.0
12410066,39,
12410076,40,
12410111,41,
12410119,42,
12410124,43,
12410222,44,
12411515,45,22000336.0
12420001,46,
12420002,47,
12420003,48,
12420004,49,
12420018,50,
12420022,51,
12420023,52,22000234.0
12430001,53,
12430002,54,
12430003,55,
12430004,56,
12430017,57,
12430023,58,
12430031,59,
12430033,60,
12430044,61,
12430111,62,
12430115,63,
12430222,64,
12430244,65,
12430245,66,
12430248,67,
12430277,68,
12430376,69,
12430399,70,22000057.0
12430456,71,22000062.0
12430466,72,
12430552,73,
12430570,74,
12430589,75,
12430590,76,22000048.0
12430591,77,22000043.0
12430600,78,
12430634,79,
12430645,80,
12430666,81,22000050.0
12430686,82,
12430700,83,
12430706,84,
12430712,85,
12430720,86,22000158.0
12430722,87,
12430723,88,22000194.0
12430730,89,
12430731,90,22000046.0
12430732,91,
12430734,92,
12430735,93,
12430736,94,
12430737,95,22001540.0
12430738,96,
12430739,97,
12430741,98,
12430745,99,
12430747,100,22000225.0
12430756,101,
12430758,102,
12430761,103,
12430765,104,
12430767,105,
12430773,106,
12430774,107,
12430776,108,
12430777,109,22000054.0
12430779,110,
12430781,111,
12430784,112,
12430785,113,
12430787,114,
12430797,115,
12430799,116,
12431033,117,
12431076,118,
12431077,119,22000053.0
12431570,120,22001542.0
12431779,121,22001541.0
12432222,122,
12500001,123,
13100001,124,
13210001,125,
13210002,126,
13210003,127,25000707.0
13210009,128,
13210010,129,
13210013,130,
13210014,131,
13210015,132,
13210016,133,
13210017,134,
13210018,135,
13210019,136,
13210020,137,25000087.0
13210021,138,
13210022,139,
13210023,140,
13210024,141,25001149.0
13210026,142,
13210028,143,25001107.0
13210029,144,25000673.0
13210044,145,
13210055,146,
13210113,147,
13210116,148,
13210126,149,
13210128,150,
13210146,151,
13210214,152,
13210258,153,
13210315,154,
13210346,155,
13210355,156,
13210487,157,
13210489,158,
13210526,159,25003596.0
13210566,160,
13210589,161,
13210722,162,25000075.0
13210733,163,25000086.0
13210747,164,
13211126,165,
13212126,166,
13213126,167,
13215841,168,
13220001,169,
13220002,170,
13220003,171,
13220022,172,
13220111,173,
13230000,174,
13230001,175,
13230002,176,
13230003,177,25000091.0
13230004,178,
13230005,179,
13230006,180,
13230007,181,
13230008,182,
13230009,183,
13230010,184,
13230011,185,
13230012,186,
13230013,187,
13230014,188,
13230015,189,
13230016,190,
13230017,191,
13230018,192,
13230019,193,
13230020,194,
13230021,195,
13230022,196,
13230023,197,
13230024,198,
13230025,199,
13230026,200,
13230027,201,
13230028,202,
13230029,203,
13230030,204,
13230033,205,
13230044,206,
13230055,207,
13230066,208,
13230096,209,
13230110,210,25000629.0
13230115,211,
13230116,212,25000639.0
13230123,213,25003217.0
13230212,214,
13230221,215,
13230222,216,25001614.0
13230223,217,25003547.0
13230224,218,
13230227,219,
13230228,220,
13230234,221,
13230237,222,
13230238,223,
13230244,224,25003599.0
13230258,225,
13230264,226,
13230266,227,
13230267,228,
13230268,229,25000716.0
13230275,230,
13230297,231,
13230334,232,
13230335,233,
13230343,234,25003597.0
13230398,235,25000097.0
13230399,236,
13230404,237,
13230412,238,
13230417,239,
13230428,240,
13230432,241,
13230436,242,
13230444,243,
13230445,244,
13230453,245,25003595.0
13230458,246,
13230461,247,
13230466,248,
13230469,249,25000078.0
13230474,250,
13230487,251,
13230500,252,
13230511,253,
13230512,254,
13230513,255,
13230518,256,
13230521,257,
13230522,258,
13230524,259,
13230528,260,25000362.0
13230529,261,
13230532,262,
13230533,263,
13230534,264,
13230537,265,
13230538,266,
13230539,267,
13230551,268,25000082.0
13230555,269,25000275.0
13230565,270,
13230566,271,
13230567,272,
13230568,273,
13230572,274,
13230576,275,
13230582,276,
13230587,277,
13230588,278,
13230611,279,
13230612,280,
13230613,281,
13230617,282,
13230622,283,
13230627,284,
13230634,285,
13230637,286,
13230642,287,
13230645,288,
13230647,289,
13230664,290,
13230666,291,
13230668,292,
13230670,293,
13230680,294,
13230684,295,
13230687,296,
13230688,297,25000019.0
13230704,298,25000020.0
13230705,299,
13230712,300,
13230724,301,
13230726,302,
13230734,303,25000021.0
13230755,304,
13230757,305,
13230768,306,25000642.0
13230777,307,
13230778,308,
13230821,309,
13230866,310,
13230888,311,
13230920,312,
13230922,313,
13230940,314,
13230941,315,25000085.0
13230951,316,
13230989,317,
13231051,318,
13231054,319,
13231116,320,
13231118,321,25000483.0
13231141,322,
13231258,323,
13231260,324,25000018.0
13231261,325,
13231275,326,
13231332,327,25000733.0
13231333,328,
13231334,329,
13231335,330,
13231372,331,25003189.0
13231378,332,25001085.0
13231399,333,
13231400,334,
13231401,335,25000592.0
13231417,336,
13231466,337,
13231474,338,
13231645,339,
13231647,340,
13232255,341,
13232331,342,
13232596,343,
13232678,344,
13234587,345,
13235940,346,
13236874,347,
13300001,348,
14100001,349,
14100002,350,
14100003,351,
14100004,352,
14100005,353,
14100006,354,
14100007,355,30000215.0
14100009,356,
14100010,357,
14100011,358,
14100017,359,
